Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time (ms),Prompt Time (ms),Travel Time (ms),Object Collection Time (ms),Objects In Box
,T,1,D,1,1,0,3158,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,1,D,2,0,1,445,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,1,D,3,1,0,236,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,1,D,4,1,1,167,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,1,D,5,0,1,152,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,1,D,6,1,1,111,5221,15258,2561, grey ball+yellow cube+red disk+pink block+orange cone+blue cylinder+
,T,2,D,1,1,0,751,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
,T,2,D,2,0,0,181,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
,T,2,D,3,1,1,111,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
,T,2,D,4,1,0,97,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
,T,2,D,5,1,1,97,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
,T,2,D,6,0,1,69,6085,10595,2368, blue cylinder+orange pyramid+pink ball+brown star+black disk+green cube+
