Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time (ms),Prompt Time (ms),Travel Time (ms),Object Collection Time (ms),Objects In Box
,W,1,ND,1,1,0,2018,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
,W,1,ND,2,0,0,180,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
,W,1,ND,3,1,0,110,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
,W,1,ND,4,0,1,98,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
,W,1,ND,5,1,0,96,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
,W,1,ND,6,1,0,124,2841,8632,4593, orange block+white pyramid+yellow disk+blue cylinder+pink star+red wedge+
