Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time (ms),Prompt Time (ms),Travel Time (ms),Object Collection Time (ms),Objects In Box
,,1,ND,1,0,1,1071,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,1,ND,2,0,1,69,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,1,ND,3,1,1,140,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,1,ND,4,1,1,54,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,1,ND,5,1,0,125,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,1,ND,6,1,0,13,3912,9091,4147, yellow star+red cone+blue cross+brown disk+black block+white cylinder+
,,2,D,1,1,1,864,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,2,D,2,1,0,125,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,2,D,3,1,0,111,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,2,D,4,0,0,166,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,2,D,5,1,0,13,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,2,D,6,0,1,179,2725,7322,2416, brown cylinder+white star+red ball+green wedge+yellow disk+blue cube+
,,3,D,1,1,0,1560,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
,,3,D,2,1,1,528,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
,,3,D,3,1,1,347,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
,,3,D,4,0,0,112,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
,,3,D,5,0,1,152,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
,,3,D,6,1,0,125,2298,8298,3020, red cone+blue pyramid+green ball+black block+pink star+orange cylinder+
