Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,T,3,D,FALSE,TRUE,380 ms,6226 ms,16123 ms, green disk+white sphere+magenta pyramid+yellow star+blue pole+red wedge+
,T,3,D,TRUE,TRUE,376 ms,6226 ms,16123 ms, green disk+white sphere+magenta pyramid+yellow star+blue pole+red wedge+
,T,3,D,TRUE,FALSE,317 ms,6226 ms,16123 ms, green disk+white sphere+magenta pyramid+yellow star+blue pole+red wedge+
,T,3,D,FALSE,TRUE,348 ms,6226 ms,16123 ms, green disk+white sphere+magenta pyramid+yellow star+blue pole+red wedge+
,T,4,ND,FALSE,TRUE,4984 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,4,ND,FALSE,TRUE,265 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,4,ND,FALSE,FALSE,371 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,4,ND,TRUE,FALSE,120 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,4,ND,TRUE,TRUE,203 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,4,ND,TRUE,TRUE,195 ms,6288 ms,17086 ms, white block+red cross+blue pole+magenta cone+brown wedge+yellow cube+
,T,5,ND,TRUE,TRUE,5529 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+
,T,5,ND,FALSE,FALSE,280 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+
,T,5,ND,FALSE,TRUE,121 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+
,T,5,ND,TRUE,FALSE,99 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+
,T,5,ND,FALSE,TRUE,120 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+
,T,5,ND,TRUE,TRUE,77 ms,5813 ms,16757 ms, green block+white disk+orange pole+grey cross+brown wedge+yellow pyramid+

,T,1,ND,FALSE,TRUE,4205 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,TRUE,TRUE,295 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,TRUE,TRUE,261 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,TRUE,TRUE,250 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,TRUE,TRUE,236 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,FALSE,TRUE,682 ms,8559 ms,19447 ms, magenta pole+white block+blue sphere+green disk+yellow cross+grey cube+
,T,1,ND,FALSE,FALSE,4287 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,1,ND,TRUE,TRUE,152 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,1,ND,TRUE,TRUE,83 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,1,ND,FALSE,TRUE,208 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,1,ND,TRUE,TRUE,181 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,1,ND,TRUE,TRUE,179 ms,7004 ms,16540 ms, blue block+orange sphere+grey star+green disk+black wedge+white cube+
,T,2,ND,TRUE,FALSE,48136 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,2,ND,TRUE,FALSE,182 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,2,ND,TRUE,FALSE,138 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,2,ND,TRUE,TRUE,99 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,2,ND,TRUE,FALSE,122 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,2,ND,FALSE,FALSE,56 ms,8818 ms,61713 ms, yellow star+grey wedge+green pole+blue cone+brown cross+orange cube+
,T,3,D,FALSE,TRUE,70571 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,3,D,TRUE,TRUE,667 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,3,D,TRUE,TRUE,194 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,3,D,FALSE,TRUE,195 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,3,D,TRUE,TRUE,203 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,3,D,FALSE,TRUE,185 ms,9494 ms,85328 ms, red sphere+yellow pole+grey cube+black cross+orange wedge+blue cone+
,T,1,D,TRUE,FALSE,543 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,FALSE,TRUE,347 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,TRUE,TRUE,193 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,TRUE,FALSE,263 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,TRUE,TRUE,125 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,TRUE,FALSE,223 ms,10905 ms,24392 ms, white disk+green cross+orange star+grey block+red sphere+blue wedge+
,T,1,D,TRUE,TRUE,1292 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,D,FALSE,FALSE,179 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,D,FALSE,FALSE,41 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,D,TRUE,FALSE,167 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,D,TRUE,FALSE,19 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,D,TRUE,FALSE,160 ms,6823 ms,11921 ms, magenta star+grey cross+orange disk+white block+yellow cube+brown pole+
,T,1,ND,FALSE,TRUE,4606 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,TRUE,TRUE,459 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,TRUE,TRUE,458 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,FALSE,TRUE,430 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,TRUE,TRUE,390 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,TRUE,TRUE,376 ms,6264 ms,17135 ms, grey cross+brown cone+red block+white pyramid+blue wedge+green pole+
,T,1,ND,TRUE,TRUE,653 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
,T,1,ND,TRUE,FALSE,138 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
,T,1,ND,TRUE,TRUE,181 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
,T,1,ND,FALSE,FALSE,136 ms,11754 ms,17416 ms, white sphere+grey cube+magenta cross+red wedge+blue block+orange star+
