Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,T,1,ND,TRUE,TRUE,667 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
,T,1,ND,FALSE,TRUE,305 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
,T,1,ND,TRUE,TRUE,154 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
,T,1,ND,TRUE,TRUE,166 ms,9564 ms,18864 ms, grey cube+orange pole+black cross+yellow wedge+brown block+green disk+
,T,1,D,FALSE,TRUE,1989 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,FALSE,TRUE,207 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,TRUE,FALSE,196 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,FALSE,TRUE,97 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,TRUE,TRUE,123 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,FALSE,TRUE,237 ms,6138 ms,12169 ms, blue sphere+red pyramid+green cross+grey disk+black wedge+white pole+
,T,1,D,TRUE,TRUE,1960 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,D,TRUE,TRUE,180 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,D,FALSE,TRUE,334 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,D,TRUE,TRUE,263 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,D,FALSE,TRUE,183 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,D,FALSE,FALSE,152 ms,5819 ms,26449 ms, yellow cone+red pyramid+orange pole+green cube+white star+magenta disk+
,T,1,ND,FALSE,TRUE,395 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,TRUE,186 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,TRUE,180 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,FALSE,181 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,FALSE,83 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,FALSE,194 ms,7632 ms,11364 ms, black wedge+blue sphere+red cross+orange cone+green pole+white pyramid+
,T,1,ND,TRUE,TRUE,1126 ms,9537 ms,13603 ms, brown pole+green block+grey pyramid+yellow sphere+white cone+blue cross+
