Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time (ms),Prompt Time (ms),Travel Time (ms),Object Collection Time (ms),Objects In Box
,T,1,ND,1,0,0,1865,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,1,ND,2,1,1,222,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,1,ND,3,0,1,166,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,1,ND,4,1,1,55,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,1,ND,5,1,1,208,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,1,ND,6,1,0,472,3926,11040,3007, green cube+yellow cylinder+orange star+black ball+blue cone+red disk+
,T,2,D,1,0,0,989,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,2,D,2,1,0,264,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,2,D,3,1,1,125,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,2,D,4,0,0,125,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,2,D,5,1,0,97,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,2,D,6,1,1,125,3980,10567,2424, brown pyramid+pink cone+grey block+orange disk+black cylinder+white ball+
,T,3,ND,1,0,0,668,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,3,ND,2,1,0,195,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,3,ND,3,1,0,83,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,3,ND,4,1,1,111,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,3,ND,5,0,0,111,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,3,ND,6,1,0,222,4038,10971,2248, white cube+orange wedge+yellow cylinder+green cone+black pyramid+grey star+
,T,4,D,1,1,0,737,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
,T,4,D,2,1,1,320,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
,T,4,D,3,1,0,111,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
,T,4,D,4,0,1,111,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
,T,4,D,5,1,1,69,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
,T,4,D,6,0,1,152,6321,10206,2612, blue cube+red cone+brown disk+green ball+orange cylinder+pink wedge+
