Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,,1,ND,TRUE,FALSE,500 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,1,ND,TRUE,TRUE,194 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,1,ND,TRUE,TRUE,195 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,1,ND,FALSE,FALSE,194 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,1,ND,TRUE,FALSE,209 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,1,ND,FALSE,FALSE,208 ms,3828 ms,7727 ms, yellow pyramid+green star+white cone+orange sphere+grey cross+black disk+
,,2,ND,TRUE,TRUE,626 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,2,ND,FALSE,FALSE,180 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,2,ND,FALSE,FALSE,111 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,2,ND,FALSE,FALSE,208 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,2,ND,FALSE,FALSE,181 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,2,ND,TRUE,FALSE,222 ms,2492 ms,6516 ms, grey pole+orange cross+yellow wedge+magenta pyramid+black star+blue block+
,,3,D,TRUE,FALSE,626 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,3,D,TRUE,TRUE,306 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,3,D,TRUE,TRUE,222 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,3,D,FALSE,TRUE,166 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,3,D,TRUE,FALSE,139 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,3,D,FALSE,FALSE,208 ms,2728 ms,7489 ms, green cross+blue cone+grey cube+brown block+white wedge+orange sphere+
,,4,ND,TRUE,FALSE,765 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,4,ND,TRUE,TRUE,125 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,4,ND,FALSE,FALSE,167 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,4,ND,FALSE,FALSE,13 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,4,ND,TRUE,FALSE,194 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,4,ND,FALSE,FALSE,208 ms,7728 ms,11708 ms, red disk+magenta wedge+green cross+blue star+orange pyramid+grey pole+
,,5,D,TRUE,FALSE,793 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,5,D,TRUE,TRUE,208 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,5,D,FALSE,FALSE,180 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,5,D,TRUE,FALSE,111 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,5,D,TRUE,FALSE,194 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,5,D,TRUE,FALSE,208 ms,3884 ms,8046 ms, magenta pole+yellow cube+orange star+blue block+brown pyramid+green cross+
,,6,D,TRUE,FALSE,4024 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
,,6,D,FALSE,FALSE,195 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
,,6,D,TRUE,FALSE,166 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
,,6,D,TRUE,FALSE,181 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
,,6,D,FALSE,FALSE,152 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
,,6,D,TRUE,FALSE,167 ms,2784 ms,9845 ms, brown sphere+black star+red cube+white cross+grey pole+green disk+
