Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time,Prompt Time,Travel Time,Object Collection Time,Objects In Box
,T,1,ND,2,TRUE,TRUE,389 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
,T,1,ND,3,FALSE,TRUE,41 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
,T,1,ND,4,TRUE,TRUE,139 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
,T,1,ND,5,TRUE,TRUE,55 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
,T,1,ND,6,TRUE,TRUE,167 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
,T,2,D,1,TRUE,FALSE,12226 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,2,D,2,FALSE,FALSE,236 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,2,D,3,TRUE,FALSE,27 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,2,D,4,FALSE,TRUE,194 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,2,D,5,TRUE,TRUE,27 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,2,D,6,TRUE,TRUE,166 ms,9272 ms,25116 ms,5773 ms, black pyramid+pink wedge+red star+green block+grey cross+blue cylinder+
,T,3,ND,1,TRUE,TRUE,5499 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,3,ND,2,TRUE,FALSE,626 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,3,ND,3,TRUE,FALSE,542 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,3,ND,4,FALSE,FALSE,111 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,3,ND,5,FALSE,FALSE,152 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,3,ND,6,TRUE,FALSE,83 ms,10382 ms,19989 ms,3119 ms, green cone+pink block+brown cube+red cylinder+blue wedge+white pyramid+
,T,1,D,1,FALSE,FALSE,3214 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,2,FALSE,FALSE,111 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,3,TRUE,FALSE,180 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,4,TRUE,FALSE,55 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,5,TRUE,FALSE,180 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,6,TRUE,FALSE,41 ms,8230 ms,14202 ms,2661 ms, grey cone+green star+white disk+brown cross+red cylinder+blue wedge+
,T,1,D,1,TRUE,FALSE,6833 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,D,2,FALSE,FALSE,167 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,D,3,TRUE,TRUE,139 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,D,4,TRUE,FALSE,83 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,D,5,FALSE,TRUE,152 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,D,6,TRUE,TRUE,41 ms,8370 ms,17851 ms,2868 ms, red cylinder+black disk+grey cross+blue pyramid+yellow cone+brown cube+
,T,1,ND,1,TRUE,FALSE,1293 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,ND,2,FALSE,FALSE,180 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,ND,3,TRUE,TRUE,125 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,ND,4,FALSE,TRUE,97 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,ND,5,TRUE,TRUE,153 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,ND,6,TRUE,TRUE,41 ms,8173 ms,12320 ms,3830 ms, grey block+red star+brown cone+pink cube+orange cylinder+white ball+
,T,1,D,1,FALSE,FALSE,1571 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,2,TRUE,FALSE,403 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,3,TRUE,FALSE,111 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,4,FALSE,TRUE,264 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,5,TRUE,TRUE,236 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,6,TRUE,TRUE,83 ms,8411 ms,13381 ms,5611 ms, blue disk+pink cone+red cross+black star+green block+yellow pyramid+
,T,1,D,1,TRUE,FALSE,1028 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,1,D,2,FALSE,TRUE,124 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,1,D,3,TRUE,TRUE,69 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,1,D,4,FALSE,TRUE,125 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,1,D,5,TRUE,TRUE,69 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,1,D,6,TRUE,TRUE,138 ms,9371 ms,13059 ms,12321 ms, green ball+blue disk+brown cone+pink wedge+yellow star+white cross+
,T,2,ND,1,FALSE,FALSE,1670 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
,T,2,ND,2,TRUE,TRUE,137 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
,T,2,ND,3,TRUE,FALSE,83 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
,T,2,ND,4,TRUE,FALSE,97 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
,T,2,ND,5,FALSE,FALSE,111 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
,T,2,ND,6,TRUE,FALSE,97 ms,11863 ms,16373 ms,4562 ms, brown wedge+white block+pink star+grey cylinder+yellow ball+blue cross+
