Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time,Prompt Time,Travel Time,Object Collection Time,Objects In Box
,,1,ND,1,FALSE,TRUE,3271 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,1,ND,2,TRUE,TRUE,195 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,1,ND,3,FALSE,TRUE,27 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,1,ND,4,TRUE,TRUE,180 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,1,ND,5,TRUE,TRUE,13 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,1,ND,6,TRUE,TRUE,194 ms,8576 ms,15885 ms,56676 ms, grey cone+blue cross+green ball+red block+yellow star+pink cube+
,,2,ND,1,FALSE,TRUE,2564 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,2,ND,2,FALSE,FALSE,235 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,2,ND,3,TRUE,TRUE,84 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,2,ND,4,TRUE,FALSE,96 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,2,ND,5,TRUE,TRUE,110 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,2,ND,6,TRUE,FALSE,70 ms,4092 ms,10748 ms,4184 ms, red cube+black pyramid+brown cone+yellow cylinder+white star+pink cross+
,,3,D,1,FALSE,TRUE,1101 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,3,D,2,FALSE,FALSE,569 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,3,D,3,TRUE,TRUE,794 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,3,D,4,TRUE,FALSE,583 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,3,D,5,TRUE,FALSE,655 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,3,D,6,TRUE,FALSE,486 ms,3146 ms,9314 ms,3255 ms, orange cylinder+brown ball+red cube+white cone+black disk+yellow block+
,,1,D,1,FALSE,FALSE,9257 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,D,2,TRUE,FALSE,208 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,D,3,TRUE,FALSE,166 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,D,4,TRUE,FALSE,209 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,D,5,FALSE,FALSE,194 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,D,6,TRUE,FALSE,208 ms,6072 ms,20119 ms,3145 ms, blue cylinder+black cross+green disk+pink wedge+grey star+white cube+
,,1,ND,1,TRUE,FALSE,13544 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,1,ND,2,TRUE,FALSE,751 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,1,ND,3,FALSE,FALSE,41 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,1,ND,4,TRUE,FALSE,250 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,1,ND,5,FALSE,FALSE,125 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,1,ND,6,TRUE,FALSE,181 ms,5139 ms,23558 ms,2422 ms, green pyramid+blue disk+grey cone+black cross+yellow cylinder+white cube+
,,2,D,1,TRUE,FALSE,1795 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,2,D,2,TRUE,FALSE,181 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,2,D,3,TRUE,FALSE,194 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,2,D,4,FALSE,FALSE,194 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,2,D,5,FALSE,FALSE,195 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,2,D,6,TRUE,FALSE,181 ms,5164 ms,13601 ms,2667 ms, white wedge+blue cube+black disk+red cone+grey cross+yellow block+
,,3,D,1,FALSE,FALSE,10077 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,3,D,2,TRUE,FALSE,320 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,3,D,3,TRUE,TRUE,194 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,3,D,4,FALSE,FALSE,111 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,3,D,5,TRUE,TRUE,125 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,3,D,6,TRUE,FALSE,83 ms,3731 ms,18655 ms,5762 ms, orange disk+green cross+yellow block+brown cylinder+grey star+red cone+
,,4,ND,1,TRUE,FALSE,2769 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,,4,ND,2,TRUE,FALSE,180 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,,4,ND,3,FALSE,TRUE,181 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,,4,ND,4,FALSE,FALSE,97 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,,4,ND,5,TRUE,TRUE,97 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,,4,ND,6,TRUE,FALSE,83 ms,7197 ms,13893 ms,1974 ms, pink pyramid+blue cross+grey block+orange wedge+red cube+white cone+
,T,1,ND,1,FALSE,TRUE,9452 ms,8812 ms,21898 ms,5068 ms, blue ball+black block+grey pyramid+green cross+pink cube+red cone+
